word,disc,celex_gcm_wf,celex_gcm_nof,reg.av,category,moder,celex_gcm_wf_trans_moder_reg
beeve,biv,0.650517667933299,0.679468263045195,0.5742574257425742,ove,DROVE,0.7440229820235531
bim,bIm,0.879085677042647,0.967389143681693,0.7970297029702971,ablaut,SANG,0.9185977322902403
bleel,blil,0.833105301238095,0.714803571091833,0.5247524752475248,vowelt,KEPT,0.7374665057748232
bleem,blim,0.90982330502513,0.941290627521583,0.6237623762376238,vowelt,KEPT,0.8933079150600158
blide,bl2d,0.978001157345666,0.981462964473077,0.5148514851485149,ove,DROVE,0.9468761314162957
blim,blIm,0.972406090358711,0.98270698461837,0.7970297029702971,ablaut,SANG,0.9616680682758952
blurn,bl3n,0.574127771939104,0.523467572351206,0.6386138613861386,novowelt,BURNT,0.5662277695403545
breel,bril,0.849714896280687,0.88829156808871,0.5198019801980198,vowelt,KEPT,0.8436403557720312
breen,brin,0.897239199381392,0.900578143476409,0.693069306930693,vowelt,KEPT,0.8396530051794884
breep,brip,0.418299961434396,0.531547818454129,0.5495049504950495,vowelt,KEPT,0.6079835363139139
brive,br2v,0.472448416298939,0.517339183466177,0.3910891089108911,ove,DROVE,0.6187159643196306
brurn,br3n,0.677647487485063,0.551432561293074,0.5544554455445545,novowelt,BURNT,0.6252122817841188
cheel,Jil,0.731673991439543,0.726977932433335,0.5445544554455446,vowelt,KEPT,0.742370848829916
cheem,Jim,0.930920443314218,0.946276774771563,0.7326732673267327,vowelt,KEPT,0.9245102211156012
cheen,Jin,0.67538954968958,0.554265860345049,0.7425742574257426,vowelt,KEPT,0.7011033887159493
cheeve,Jiv,0.667582567039233,0.72149119201948,0.5544554455445545,ove,DROVE,0.7760111900353603
chim,JIm,0.824819786679941,0.954051667087709,0.7425742574257426,ablaut,SANG,0.8578062991170713
chite,J2t,0.921034989812105,0.886252914321162,0.5792079207920792,ove,DROVE,0.9194952225397982
dreen,drin,0.653735855850817,0.671037248182712,0.6336633663366337,vowelt,KEPT,0.64847129194428
dreep,drip,0.452560363889657,0.514225903288467,0.4405940594059406,vowelt,KEPT,0.5809417235381449
drell,drEl,0.822139020393244,0.575037828079678,0.6534653465346535,novowelt,BURNT,0.8378285376568512
drite,dr2t,0.616671292695447,0.425790893586795,0.3712871287128713,ove,DROVE,0.6278650323224254
drurn,dr3n,0.86201062907162,0.824683247890026,0.7475247524752475,novowelt,BURNT,0.8101084898583671
dween,dwin,0.727788688367987,0.852413395239519,0.5792079207920792,vowelt,KEPT,0.7345754350706339
dweep,dwip,0.213483464040425,0.147383926826201,0.42574257425742573,vowelt,KEPT,0.27880717429962726
dweeve,dwiv,0.544258609668702,0.555021575168406,0.4603960396039604,ove,DROVE,0.5971044649131806
dwide,dw2d,0.867572327745246,0.764949369582708,0.4158415841584158,ove,DROVE,0.8766216656722787
dwill,dwIl,0.551404100850008,0.779018176440182,0.6732673267326733,novowelt,BURNT,0.6062092261875385
dwim,dwIm,0.543226012809329,0.54815454431071,0.5148514851485149,ablaut,SANG,0.7522712085521075
dwine,dw2n,0.963597252070579,0.976774794641404,0.6188118811881188,ove,DROVE,0.9643619343970254
dwing,dwIN,0.688383284317362,0.886376066798872,0.48514851485148514,ablaut,SANG,0.8163653174683357
dwink,dwINk,0.366659261157102,0.50794099434353,0.4306930693069307,ablaut,SANG,0.6429373886261432
