"Cob","CobLog","past.o","past","Lemma.Class","Lemma.Cob","Lemma.CobLog","present.o","present","ending.2","ending.3","regular","category","class","monosyl","moder"
97174,3.7338,"was","wQz","V",687085,4.58,"be","bi","as","was","N",NA,"irregular",TRUE,NA
22393,3.0962,"had","h{d","V",242066,4.13,"have","h{v","ad","had","N",NA,"irregular",TRUE,NA
21107,3.0708,"were","w3R","V",687085,4.58,"be","bi","re","ere","N",NA,"irregular",TRUE,NA
9931,2.7435,"said","sEd","V",76541,3.63,"say","s1","id","aid","N",NA,"irregular",TRUE,NA
8609,2.6812,"would","wUd","V",69206,3.59,"will","wIl","ld","uld","N",NA,"irregular",TRUE,NA
8415,2.6712,"could","kUd","V",70930,3.6,"can","k{n","ld","uld","N",NA,"irregular",TRUE,NA
5237,2.4654,"did","dId","V",80717,3.65,"do","du","id","did","N",NA,"irregular",TRUE,NA
3572,2.2989,"made","m1d","V",41842,3.37,"make","m1k","de","ade","N",NA,"irregular",TRUE,NA
3127,2.2405,"came","k1m","V",35152,3.29,"come","kVm","me","ame","N",NA,"irregular",TRUE,NA
3099,2.238,"went","wEnt","V",51830,3.46,"go","g5","nt","ent","N",NA,"irregular",TRUE,NA
3080,2.2355,"got","gQt","V",42717,3.38,"get","gEt","ot","got","N",NA,"irregular",TRUE,NA
2127,2.0755,"took","tUk","V",34323,3.28,"take","t1k","ok","ook","N",NA,"irregular",TRUE,NA
2110,2.0719,"thought","T$t","V",35874,3.3,"think","TINk","ht","ght","N",NA,"irregular",TRUE,NA
2038,2.0569,"knew","nju","V",38013,3.33,"know","n5","ew","new","N",NA,"irregular",TRUE,NA
1909,2.0253,"might","m2t","V",25802,3.16,"may","m1","ht","ght","N",NA,"irregular",TRUE,NA
1763,1.9912,"told","t5ld","V",19040,3.03,"tell","tEl","ld","old","N",NA,"irregular",TRUE,NA
1736,1.9868,"saw","s$","V",36958,3.31,"see","si","aw","saw","N",NA,"irregular",TRUE,NA
1726,1.9823,"found","f6nd","V",19525,3.04,"find","f2nd","nd","und","N",NA,"irregular",TRUE,NA
1598,1.9494,"began","bIg{n","V",12254,2.83,"begin","bIgIn","an","gan","N",NA,"irregular",FALSE,NA
1503,1.9243,"left","lEft","V",14042,2.89,"leave","liv","ft","eft","N",NA,"irregular",TRUE,NA
1449,1.9085,"felt","fElt","V",15489,2.94,"feel","fil","lt","elt","N","vowelt","irregular",TRUE,"KEPT"
1367,1.8808,"put","pUt","V",14426,2.91,"put","pUt","ut","put","N","mono","irregular",TRUE,NA
1291,1.8573,"gave","g1v","V",22921,3.11,"give","gIv","ve","ave","N",NA,"irregular",TRUE,NA
1198,1.8261,"became","bIk1m","V",14957,2.92,"become","bIkVm","me","ame","N",NA,"irregular",FALSE,NA
1014,1.7559,"heard","h3d","V",9053,2.7,"hear","h7R","rd","ard","N",NA,"irregular",TRUE,NA
892,1.699,"brought","br$t","V",9176,2.71,"bring","brIN","ht","ght","N",NA,"irregular",TRUE,NA
817,1.6628,"sat","s{t","V",8969,2.7,"sit","sIt","at","sat","N",NA,"irregular",TRUE,NA
782,1.6435,"let","lEt","V",7728,2.63,"let","lEt","et","let","N","mono","irregular",TRUE,NA
765,1.6335,"held","hEld","V",8324,2.67,"hold","h5ld","ld","eld","N",NA,"irregular",TRUE,NA
762,1.6232,"stood","stUd","V",8376,2.67,"stand","st{nd","od","ood","N",NA,"irregular",TRUE,NA
759,1.6232,"lost","lQst","V",6086,2.53,"lose","luz","st","ost","N",NA,"irregular",TRUE,NA
750,1.6232,"kept","kEpt","V",11794,2.82,"keep","kip","pt","ept","N","vowelt","irregular",TRUE,"KEPT"
583,1.5051,"read","rEd","V",6689,2.57,"read","rid","ad","ead","N",NA,"irregular",TRUE,NA
575,1.5051,"wrote","r5t","V",8317,2.67,"write","r2t","te","ote","N","ove","irregular",TRUE,"DROVE"
551,1.4914,"sent","sEnt","V",4822,2.43,"send","sEnd","nt","ent","N",NA,"irregular",TRUE,NA
530,1.4771,"met","mEt","V",4182,2.37,"meet","mit","et","met","N",NA,"irregular",TRUE,NA
520,1.4624,"set","sEt","V",5630,2.5,"set","sEt","et","set","N","mono","irregular",TRUE,NA
515,1.4624,"spoke","sp5k","V",6655,2.57,"speak","spik","ke","oke","N",NA,"irregular",TRUE,"DROVE"
515,1.4624,"meant","mEnt","V",13126,2.86,"mean","min","nt","ant","N","vowelt","irregular",TRUE,"KEPT"
498,1.4472,"ran","r{n","V",7903,2.64,"run","rVn","an","ran","N",NA,"irregular",TRUE,NA
496,1.4472,"spent","spEnt","V",5036,2.45,"spend","spEnd","nt","ent","N",NA,"irregular",TRUE,NA
490,1.4314,"lay","l1","V",5362,2.48,"lie","l2","ay","lay","N",NA,"irregular",TRUE,NA
485,1.4314,"fell","fEl","V",5276,2.47,"fall","f$l","ll","ell","N",NA,"irregular",TRUE,NA
457,1.3979,"paid","p1d","V",6268,2.54,"pay","p1","id","aid","N",NA,"irregular",TRUE,NA
456,1.3979,"built","bIlt","V",4336,2.38,"build","bIld","lt","ilt","N",NA,"irregular",TRUE,NA
396,1.3424,"caught","k$t","V",3459,2.29,"catch","k{J","ht","ght","N",NA,"irregular",TRUE,NA
325,1.2553,"cut","kVt","V",3415,2.28,"cut","kVt","ut","cut","N","mono","irregular",TRUE,NA
316,1.2553,"grew","gru","V",6112,2.53,"grow","gr5","ew","rew","N",NA,"irregular",TRUE,NA
316,1.2553,"bought","b$t","V",4594,2.41,"buy","b2","ht","ght","N",NA,"irregular",TRUE,NA
305,1.2304,"shook","SUk","V",2359,2.12,"shake","S1k","ok","ook","N",NA,"irregular",TRUE,NA
286,1.2041,"broke","br5k","V",4102,2.36,"break","br1k","ke","oke","N",NA,"irregular",TRUE,NA
284,1.2041,"rose","r5z","V",3486,2.29,"rise","r2z","se","ose","N",NA,"irregular",TRUE,"DROVE"
279,1.2041,"drove","dr5v","V",3907,2.34,"drive","dr2v","ve","ove","N","ove","irregular",TRUE,"DROVE"
271,1.1761,"wore","w$R","V",4339,2.38,"wear","w8R","re","ore","N",NA,"irregular",TRUE,NA
263,1.1761,"drew","dru","V",3853,2.33,"draw","dr$","ew","rew","N",NA,"irregular",TRUE,NA
260,1.1461,"understood","Vnd@stud","V",5220,2.46,"understand","Vnd@st{nd","od","ood","N",NA,"irregular",FALSE,NA
251,1.1461,"won","wVn","V",2762,2.19,"win","wIn","on","won","N",NA,"irregular",TRUE,NA
241,1.1139,"taught","t$t","V",2558,2.16,"teach","tiJ","ht","ght","N",NA,"irregular",TRUE,NA
232,1.1139,"laid","l1d","V",2167,2.08,"lay","l1","id","aid","N",NA,"irregular",TRUE,NA
212,1.0792,"threw","Tru","V",2858,2.2,"throw","Tr5","ew","rew","N",NA,"irregular",TRUE,NA
205,1.0414,"ought","$t","V",1845,2.01,"ought","$t","ht","ght","N","mono","irregular",TRUE,NA
204,1.0414,"sold","s5ld","V",2596,2.16,"sell","sEl","ld","old","N",NA,"irregular",TRUE,NA
202,1.0414,"struck","strVk","V",1999,2.05,"strike","str2k","ck","uck","N",NA,"irregular",TRUE,NA
200,1.0414,"hung","hVN","V",2275,2.1,"hang","h{N","ng","ung","N",NA,"irregular",TRUE,NA
183,1,"ate","Et","V",5183,2.46,"eat","it","te","ate","N",NA,"irregular",TRUE,NA
162,0.9542,"stuck","stVk","V",1683,1.97,"stick","stIk","ck","uck","N",NA,"irregular",TRUE,NA
161,0.9542,"rang","r{N","V",1625,1.96,"ring","rIN","ng","ang","N","ablaut","irregular",TRUE,"SANG"
160,0.9542,"hit","hIt","V",1792,2,"hit","hIt","it","hit","N","mono","irregular",TRUE,NA
157,0.9542,"shot","SQt","V",1336,1.87,"shoot","Sut","ot","hot","N",NA,"irregular",TRUE,NA
155,0.9542,"drank","dr{Nk","V",2321,2.11,"drink","drINk","nk","ank","N","ablaut","irregular",TRUE,"SANG"
152,0.9031,"chose","J5z","V",3211,2.25,"choose","Juz","se","ose","N",NA,"irregular",TRUE,NA
132,0.8451,"spread","sprEd","V",1578,1.94,"spread","sprEd","ad","ead","N","mono","irregular",TRUE,NA
132,0.8451,"fought","f$t","V",2549,2.15,"fight","f2t","ht","ght","N",NA,"irregular",TRUE,NA
132,0.8451,"sought","s$t","V",2147,2.08,"seek","sik","ht","ght","N",NA,"irregular",TRUE,NA
130,0.8451,"bent","bEnt","V",1179,1.82,"bend","bEnd","nt","ent","N",NA,"irregular",TRUE,NA
129,0.8451,"shut","SVt","V",1280,1.85,"shut","SVt","ut","hut","N","mono","irregular",TRUE,NA
128,0.8451,"lit","lIt","V",962,1.73,"light","l2t","it","lit","N",NA,"irregular",TRUE,NA
120,0.8451,"slept","slEpt","V",2306,2.11,"sleep","slip","pt","ept","N","vowelt","irregular",TRUE,"KEPT"
108,0.7782,"swept","swEpt","V",915,1.71,"sweep","swip","pt","ept","N","vowelt","irregular",TRUE,"KEPT"
108,0.7782,"hurt","h3t","V",1204,1.83,"hurt","h3t","rt","urt","N","mono","irregular",TRUE,NA
107,0.7782,"woke","w5k","V",1181,1.82,"wake","w1k","ke","oke","N",NA,"irregular",TRUE,NA
104,0.7782,"forgot","f@gQt","V",3056,2.23,"forget","f@gEt","ot","got","N",NA,"irregular",FALSE,NA
103,0.7782,"beat","bit","V",1544,1.93,"beat","bit","at","eat","N","mono","irregular",TRUE,NA
102,0.7782,"flew","flu","V",1715,1.98,"fly","fl2","ew","lew","N",NA,"irregular",TRUE,NA
96,0.699,"blew","blu","V",1507,1.92,"blow","bl5","ew","lew","N",NA,"irregular",TRUE,NA
93,0.699,"learnt","l3nt","V",5524,2.49,"learn","l3n","nt","rnt","N","novowelt","irregular",TRUE,"BURNT"
84,0.699,"sang","s{N","V",1407,1.89,"sing","sIN","ng","ang","N","ablaut","irregular",TRUE,"SANG"
81,0.699,"dealt","dElt","V",1871,2.02,"deal","dil","lt","alt","N","vowelt","irregular",TRUE,"KEPT"
76,0.6021,"swung","swVN","V",1001,1.75,"swing","swIN","ng","ung","N",NA,"irregular",TRUE,NA
73,0.6021,"bore","b$R","V",1917,2.03,"bear","b8R","re","ore","N",NA,"irregular",TRUE,NA
72,0.6021,"cost","kQst","V",985,1.74,"cost","kQst","st","ost","N","mono","irregular",TRUE,NA
70,0.6021,"rode","r5d","V",1019,1.76,"ride","r2d","de","ode","N","ove","irregular",TRUE,"DROVE"
68,0.6021,"burnt","b3nt","V",1577,1.94,"burn","b3n","nt","rnt","N","novowelt","irregular",TRUE,"BURNT"
68,0.6021,"tore","t$R","V",1101,1.79,"tear","t8R","re","ore","N",NA,"irregular",TRUE,NA
65,0.6021,"flung","flVN","V",425,1.38,"fling","flIN","ng","ung","N",NA,"irregular",TRUE,NA
65,0.6021,"arose","@r5z","V",1088,1.79,"arise","@r2z","se","ose","N",NA,"irregular",FALSE,NA
63,0.6021,"cast","k#st","V",737,1.61,"cast","k#st","st","ast","N","mono","irregular",TRUE,NA
62,0.4771,"sank","s{Nk","V",892,1.7,"sink","sINk","nk","ank","N","ablaut","irregular",TRUE,"SANG"
59,0.4771,"slid","slId","V",626,1.54,"slide","sl2d","id","lid","N",NA,"irregular",TRUE,NA
56,0.4771,"sprang","spr{N","V",603,1.53,"spring","sprIN","ng","ang","N","ablaut","irregular",TRUE,"SANG"
55,0.4771,"burst","b3st","V",682,1.58,"burst","b3st","st","rst","N","mono","irregular",TRUE,NA
54,0.4771,"split","splIt","V",599,1.52,"split","splIt","it","lit","N","mono","irregular",TRUE,NA
54,0.4771,"ground","gr6nd","V",491,1.43,"grind","gr2nd","nd","und","N",NA,"irregular",TRUE,NA
54,0.4771,"shone","SQn","V",614,1.53,"shine","S2n","ne","one","N",NA,"irregular",TRUE,NA
54,0.4771,"dug","dVg","V",716,1.6,"dig","dIg","ug","dug","N",NA,"irregular",TRUE,NA
46,0.4771,"withdrew","wIDdru","V",775,1.63,"withdraw","wIDdr$","ew","rew","N",NA,"irregular",FALSE,NA
43,0.301,"hid","hId","V",1804,2,"hide","h2d","id","hid","N",NA,"irregular",TRUE,NA
43,0.301,"bit","bIt","V",492,1.43,"bite","b2t","it","bit","N",NA,"irregular",TRUE,NA
41,0.301,"bet","bEt","V",447,1.4,"bet","bEt","et","bet","N","mono","irregular",TRUE,NA
39,0.301,"stole","st5l","V",941,1.72,"steal","stil","le","ole","N",NA,"irregular",TRUE,"DROVE"
38,0.301,"crept","krEpt","V",466,1.42,"creep","krip","pt","ept","N","vowelt","irregular",TRUE,"KEPT"
38,0.301,"leapt","lEpt","V",549,1.49,"leap","lip","pt","apt","N","vowelt","irregular",TRUE,"KEPT"
37,0.301,"knelt","nElt","V",406,1.36,"kneel","nil","lt","elt","N","vowelt","irregular",TRUE,"KEPT"
34,0.301,"upset","VpsEt","V",418,1.36,"upset","VpsEt","et","set","N",NA,"irregular",FALSE,NA
34,0.301,"clung","klVN","V",489,1.43,"cling","klIN","ng","ung","N",NA,"irregular",TRUE,NA
33,0.301,"wound","w6nd","V",293,1.2,"wind","w2nd","nd","und","N",NA,"irregular",TRUE,NA
33,0.301,"wept","wEpt","V",499,1.45,"weep","wip","pt","ept","N","vowelt","irregular",TRUE,"KEPT"
32,0.301,"swam","sw{m","V",837,1.67,"swim","swIm","am","wam","N","ablaut","irregular",TRUE,"SANG"
32,0.301,"strode","str5d","V",225,1.11,"stride","str2d","de","ode","N","ove","irregular",TRUE,"DROVE"
32,0.301,"bound","b6nd","V",303,1.23,"bind","b2nd","nd","und","N",NA,"irregular",TRUE,NA
31,0.301,"swore","sw$R","V",576,1.51,"swear","sw8R","re","ore","N",NA,"irregular",TRUE,NA
30,0.301,"leant","lEnt","V",1290,1.86,"lean","lin","nt","ant","N","vowelt","irregular",TRUE,"KEPT"
29,0.301,"spun","spVn","V",458,1.42,"spin","spIn","un","pun","N",NA,"irregular",TRUE,NA
27,0.301,"thrust","TrVst","V",348,1.28,"thrust","TrVst","st","ust","N","mono","irregular",TRUE,NA
26,0,"rebuilt","ribIlt","V",256,1.15,"rebuild","ribIld","lt","ilt","N",NA,"irregular",FALSE,NA
25,0,"spat","sp{t","V",271,1.18,"spit","spIt","at","pat","N","mono","irregular",TRUE,NA
25,0,"lent","lEnt","V",489,1.43,"lend","lEnd","nt","ent","N",NA,"irregular",TRUE,NA
24,0,"smelt","smElt","V",850,1.67,"smell","smEl","lt","elt","N","novowelt","irregular",TRUE,"BURNT"
23,0,"froze","fr5z","V",799,1.65,"freeze","friz","ze","oze","N",NA,"irregular",TRUE,"DROVE"
21,0,"quit","kwIt","V",228,1.11,"quit","kwIt","it","uit","N","mono","irregular",TRUE,NA
21,0,"spoilt","sp4lt","V",522,1.46,"spoil","sp4l","lt","ilt","N",NA,"irregular",TRUE,NA
20,0,"awoke","@w5k","V",144,0.9,"awake","@w1k","ke","oke","N",NA,"irregular",FALSE,NA
17,0,"overheard","5v@h3d","V",109,0.78,"overhear","5v@h7R","rd","ard","N",NA,"irregular",FALSE,NA
16,0,"slung","slVN","V",103,0.78,"sling","slIN","ng","ung","N",NA,"irregular",TRUE,NA
16,0,"misunderstood","mIsVnd@stUd","V",137,0.9,"misunderstand","mIsVnd@st{nd","od","ood","N",NA,"irregular",FALSE,NA
15,0,"dreamt","drEmt","V",672,1.57,"dream","drim","mt","amt","N","vowelt","irregular",TRUE,"KEPT"
15,0,"shrank","Sr{Nk","V",364,1.3,"shrink","SrINk","nk","ank","N","ablaut","irregular",TRUE,"SANG"
14,0,"forbade","f@b{d","V",301,1.23,"forbid","f@bId","de","ade","N",NA,"irregular",FALSE,NA
14,0,"offset","QfsEt","V",136,0.9,"offset","QfsEt","et","set","N",NA,"irregular",FALSE,NA
14,0,"spelt","spElt","V",319,1.26,"spell","spEl","lt","elt","N","novowelt","irregular",TRUE,"BURNT"
14,0,"strung","strVN","V",97,0.7,"string","strIN","ng","ung","N",NA,"irregular",TRUE,NA
14,0,"undertook","Vnd@tuk","V",535,1.48,"undertake","Vnd@t1k","ok","ook","N",NA,"irregular",FALSE,NA
13,0,"overcame","5v@k1m","V",578,1.51,"overcome","5v@kVm","me","ame","N",NA,"irregular",FALSE,NA
12,0,"undid","VndId","V",172,1,"undo","Vndu","id","did","N",NA,"irregular",FALSE,NA
12,0,"stung","stVN","V",151,0.9,"sting","stIN","ng","ung","N",NA,"irregular",TRUE,NA
12,0,"underwent","Vnd@wEnt","V",319,1.26,"undergo","Vnd@g5","nt","ent","N",NA,"irregular",FALSE,NA
