present.form	indiv_mgl_conf
biv	0.8760675281811514
bIm	0.7897565020866557
blil	1
blim	1
bl2d	0.7720601482774703
blIm	0.8332164301639824
bl3n	0.9835884467748506
bril	1
brin	1
brip	0.5484932856105598
br2v	0.6233257410830562
br3n	0.9835884467748506
Jil	0.7033649711464584
Jim	1
Jin	1
Jiv	0.9119654731415122
JIm	0.8541500394431277
J2t	0.857624533869446
drin	1
drip	0.5484932856105598
drEl	0.9155899592136831
dr2t	0.5169997580767658
dr3n	0.9835884467748506
dwin	1
dwip	0.531930762433982
dwiv	0.5502586036753698
dw2d	0.7733715649205246
dwIl	0.9155899592136831
dwIm	0.7138711619353877
dw2n	0.9371183282858643
dwIN	0.7062877882701784
dwINk	0.8998676870443899
dw2t	0.7680509619789742
fim	1
fiv	0.8760675281811514
f2d	0.9154709676018905
fIm	0.8393380184291315
flil	1
fril	1
frin	1
frip	0.5484932856105598
frIm	0.8248619149777238
fr2v	0.7255085865447082
gim	1
gip	0.531930762433982
giv	0.9209183614324898
gIm	0.7138711619353877
gINk	0.9266632749307873
glil	1
glIl	0.9155899592136831
gl2n	0.8761751979855581
glIN	0.7568219552724097
glINk	0.7409149085767696
gril	1
grim	1
gr2d	0.5480280132551876
grIN	0.7375500849042943
grINk	0.7403984313448542
g3n	0.6778384157579144
hin	1
h3n	0.9835884467748506
_il	0.7033649711464584
_im	1
_2d	0.6335929724693729
_2n	0.808393059246601
_IN	0.8234186488596761
_INk	0.7409149085767696
_2t	0.7413263777126536
_3n	0.6778384157579144
klil	1
klim	1
klip	0.531930762433982
kl2d	0.7720601482774703
klIl	0.9155899592136831
kl2t	0.7680509619789742
krin	1
krIN	0.7375500849042943
kr2t	0.562815453285345
lEl	0.9155899592136831
mim	1
mIN	0.7835746010100221
m3n	0.6778384157579144
nim	1
nin	1
nIN	0.8234186488596761
nINk	0.7409149085767696
pim	1
p2t	0.9440688809589561
p2v	0.945548442093373
plil	1
plin	1
plip	0.531930762433982
pl2n	0.8761751979855581
pril	1
prim	1
prIl	0.9155899592136831
prIN	0.7375500849042943
pr2t	0.562815453285345
pr3n	0.9835884467748506
kwil	1
kwip	0.531930762433982
kwiv	0.5502586036753698
kw2d	0.7733715649205246
kw2n	0.9371183282858643
kwIN	0.7062877882701784
kwINk	0.8998676870443899
r3n	0.9835884467748506
Smil	1
Smim	1
Smip	0.6330236380813811
Smiv	0.8760675281811514
SmIm	0.7897565020866557
Sm2n	0.9169076686720173
SmIN	0.7835746010100221
SmINk	0.9297252111551991
Sm2t	0.7680509619789742
siv	0.9209183614324898
SIN	0.6140059072911342
Sril	1
Srin	1
Srip	0.5484932856105598
Sr2d	0.5020337592836364
SrIm	0.8248619149777238
SrIN	0.7375500849042943
skin	1
skip	0.531930762433982
skEl	0.9155899592136831
skIN	0.8495007220414647
skriv	0.7640187786143063
skr2d	0.5480280132551876
skrIl	0.9155899592136831
skr2n	0.5958105755120673
skrIN	0.7375500849042943
skrINk	0.7403984313448542
skr2t	0.562815453285345
skr3n	0.9835884467748506
sk3n	0.9835884467748506
slil	1
slin	1
slIl	0.9155899592136831
sl2n	0.8761751979855581
sl2v	0.7255085865447082
sl3n	0.9835884467748506
smim	1
smin	1
sm2d	0.7733715649205246
smIl	0.9155899592136831
smIm	0.7897565020866557
sm2n	0.9169076686720173
smIN	0.7835746010100221
smINk	0.9297252111551991
snil	1
snim	1
snin	1
snip	0.6330236380813811
sniv	0.9209183614324898
snIl	0.9155899592136831
snIm	0.8332164301639824
sn2n	0.8761751979855581
snIN	0.8234186488596761
snINk	0.7409149085767696
sn2t	0.7697689969796533
sn3n	0.9835884467748506
spIN	0.8495007220414647
sp2v	0.945548442093373
splil	1
splip	0.531930762433982
spl2d	0.7720601482774703
splIm	0.8332164301639824
splIN	0.7568219552724097
splINk	0.7409149085767696
spl2t	0.7680509619789742
spl2v	0.7255085865447082
spl3n	0.9835884467748506
sprim	1
sprin	1
sprEl	0.9155899592136831
spr2d	0.5480280132551876
sprIm	0.8248619149777238
spr2n	0.5958105755120673
sprINk	0.7403984313448542
spr3n	0.9835884467748506
skwim	1
skwin	1
