"present.form","past.form","alternation","Pres","Pfeat","environment","Qfeat","Qres","scope","hits","reliability","confidence","related_forms","exceptions","category","base.print","regular.form","irregular.form","rule_type"
"_2d","_od","2->o","X","","» ___ ","","Y","196","9",0.0459183673469388,0.040511155655426,"r»2t, dr»2v, r»2z, r»2d, S»2n, str»2v, d»2v, str»2d, sm»2t","f»2nd, tr»2, l»2k, l»2, b»2, dIs»2d, d»2, rIkw»23, sm»2l, f»2t, kr»2, str»2k, h»2d, fl»2, kl»2m, s3v»2v, k@mb»2n, dIn»2, Inv»2t","DROVE","jide","_2d@d","_od","irregular"
"_2n","_on","2->o","X","","» ___ ","","Y","196","9",0.0459183673469388,0.040511155655426,"r»2t, dr»2v, r»2z, r»2d, S»2n, str»2v, d»2v, str»2d, sm»2t","f»2nd, tr»2, l»2k, l»2, b»2, dIs»2d, d»2, rIkw»23, sm»2l, f»2t, kr»2, str»2k, h»2d, fl»2, kl»2m, s3v»2v, k@mb»2n, dIn»2, Inv»2t","DROVE","jine","_2nd","_on","irregular"
"_2t","_ot","2->o","X","","» ___ t","","","16","2",0.125,0.13574271957069,"r»2t, sm»2t","f»2t, Inv»2t, l»2t, b»2t, s»2t, jun»2t, s»2t, Ind»2t, s»2t, Ign»2t, bl»2t, r»2t, n»2t, sl»2t","DROVE","jite","_2t@d","_ot","irregular"
"_3n","_3nt","[]->t","X",""," ___ ","","","3308","1877",0.567412333736397,0.477587159456177,"l»Uk, w»Qnt, »{sk, j»uz, n»id, w»3k, l»Iv, t»Qk, J»en_, st»art, m»uv, bil»iv, h»Elp, st»ap, l»2k, w»et, w»Qk, Iksp»Ekt, p»{s","d»u, s»e, g»o, g»Et, n»o, s»i, T»INk, k»Vm, t»ek, g»Iv, f»2nd, t»El, s»im, f»il, p»Ut, l»iv, tr»2, m»in, k»Ql","BURNT","jurn","_3nd","_3nt","irregular"
"_il","_Elt","il->Elt","X","","» ___ ","","","16","3",0.1875,0.192962908770345,"f»il, d»il, n»il","rIv»il, st»il, k@ns»il, s»il, h»il, p»il, w»il, r»il, skw»il, st»il, k@n_»il, h»il, p»il","KEPT","jeel","_ild","_Elt","irregular"
"_IN","_{N","I->{","X","","» ___ N","","","13","3",0.230769230769231,0.234585984985953,"r»IN, s»IN, spr»IN","br»IN, sw»IN, kl»IN, fl»IN, st»IN, r»IN, sl»IN, str»IN, w»IN, p»IN","SANG","jing","_INd","_{N","irregular"
"_INk","_{Nk","I->{","X","","» ___ Nk","","","10","3",0.3,0.299144224145282,"dr»INk, s»INk, Sr»INk","T»INk, l»INk, bl»INk, w»INk, st»INk, kl»INk, sl»INk","SANG","jink","_INkt","_{Nk","irregular"
"bIm","b{m","I->{","X","","» ___ ","","Y","421","9",0.0213776722090261,0.017127021399899,"s»It, dr»INk, r»IN, s»IN, s»INk, sw»Im, spr»IN, Sr»INk, sp»It","T»INk, g»Iv, l»Iv, br»IN, k@nt»Inju, b»Ild, k»Il, k@ns»Id3, p»Ik, w»IS, l»Is@n, w»In, f»Il, Igz»Ist, f»InIS, h»It, @dm»It, st»Ik, l»Ift","SANG","bim","bImd","b{m","irregular"
"biv","bov","i->o","X","","» ___ ","","Y","236","4",0.0169491525423729,0.0178706700137294,"sp»ik, st»il, fr»iz, w»iv","s»i, s»im, f»il, l»iv, m»in, k»ip, n»id, h»ir, bil»iv, r»id, l»id, @p»ir, »it, r»iJ, m»it, r»i@l2z, @gr»i, rIs»iv, t»iJ","DROVE","beeve","bivd","bov","irregular"
"bl2d","blod","2->o","X","","» ___ ","","Y","196","9",0.0459183673469388,0.040511155655426,"r»2t, dr»2v, r»2z, r»2d, S»2n, str»2v, d»2v, str»2d, sm»2t","f»2nd, tr»2, l»2k, l»2, b»2, dIs»2d, d»2, rIkw»23, sm»2l, f»2t, kr»2, str»2k, h»2d, fl»2, kl»2m, s3v»2v, k@mb»2n, dIn»2, Inv»2t","DROVE","blide","bl2d@d","blod","irregular"
