"present.form","past.form","alternation","Pres","Pfeat","environment","Qfeat","Qres","scope","hits","reliability","confidence","related_forms","exceptions","category","base.print","regular.form","irregular.form","rule_type"
"_2d","_od","2->o","","[D, Z, _, d, l, n, r, z]","» ___ ","[D, Z, _, b, d, g, v, z]","","5","3",0.6,0.553826494811843,"r»2z, r»2d, d»2v","r»2D, r»2v","DROVE","jide","_2d@d","_od","irregular"
"_2n","_on","2->o","","[D, J, S, T, Z, _, d, s, t, z]","» ___ ","[D, N, Z, m, n, v, z]","","9","2",0.222222222222222,0.231278322447797,"S»2n, d»2v","s»2n, d»2n, t»2m, J»2m, s»2z, S»2n, s»2D","DROVE","jine","_2nd","_on","irregular"
"_2t","_ot","2->o","","[D, Z, _, d, l, n, r, z]","» ___ ","[D, J, S, T, Z, _, b, d, f, g, k, p, s, t, v, z, ~]","","12","4",0.333333333333333,0.328493364980686,"r»2t, r»2z, r»2d, d»2v","l»2k, l»2t, r»2D, n»2f, r»2v, r»2t, d»2s, n»2t","DROVE","jite","_2t@d","_ot","irregular"
"_3n","_3nt","[]->t","X","[D, T, d, l, n, s, t, z]"," ___ ","","","1884","1209",0.64171974522293,0.00571429772003748,"w»Qnt, j»uz, n»id, st»art, w»et, Iksp»Ekt, p»{s, dIs»2d, pr@d»us, »{d, s@g_»Est, @ks»Ept, r»i@l2z, r»ez, kri»et, f»ors, »End, f»es, Igz»Ist","g»Et, f»2nd, t»El, f»il, p»Ut, m»in, k»Ql, t»3n, s»It, st»{nd, h»old, r»2t, r»Vn, l»Et, r»id, l»uz, s»Et, l»3n, l»id","BURNT","jurn","_3nd","_3nt","irregular"
"_il","_Elt","il->Elt","","[D, J, N, S, T, Z, _, b, d, f, g, k, m, n, p, s, t, v, z, ~]","» ___ ","","","6","3",0.5,0.4730198585041,"f»il, d»il, n»il","s»il, p»il, p»il","KEPT","jeel","_ild","_Elt","irregular"
"_IN","_{N","I->{","X","[D, J, N, S, T, Z, _, b, d, f, g, h, j, k, l, m, n, p, r, s, t, v, w, z, ~]","» ___ ","[J, N, _, b, d, g, k, m, n, p, t, ~]","","96","6",0.0625,0.0637953280961932,"s»It, r»IN, s»IN, sw»Im, spr»IN, sp»It","br»IN, p»Ik, w»In, h»It, @dm»It, st»Ik, f»It, sl»Ip, sw»IN, k@m»It, sw»IJ, p3m»It, k»Ik, d»Ig, spl»It, kl»IN, gr»In, sp»In, s@bm»It","SANG","jing","_INd","_{N","irregular"
"_INk","_{Nk","I->{","X","[D, J, N, S, T, Z, _, b, d, f, g, h, j, k, l, m, n, p, r, s, t, v, w, z, ~]","» ___ ","[J, N, _, b, d, g, k, m, n, p, t, ~]","Y","277","9",0.0324909747292419,0.025771131382679,"s»It, dr»INk, r»IN, s»IN, s»INk, sw»Im, spr»IN, Sr»INk, sp»It","T»INk, br»IN, k@nt»Inju, k@ns»Id3, p»Ik, w»In, f»InIS, h»It, @dm»It, st»Ik, f»It, sl»Ip, sw»IN, k@m»It, m»Iks, sw»IJ, p3m»It, k@ntr»Ibjut, k»Ik","SANG","jink","_INkt","_{Nk","irregular"
"bIm","b{m","I->{","X","[b, f, m, p, v, w]","» ___ ","[J, N, _, b, d, g, k, m, n, p, t, ~]","","29","2",0.0689655172413793,0.0768291312644011,"sw»Im, sp»It","p»Ik, w»In, @dm»It, f»It, sw»IN, k@m»It, sw»IJ, p3m»It, sp»In, s@bm»It, tr{nzm»It, p»In, w»Ip, kw»It, p»IJ, tw»IJ, om»It, im»It, bIw»IJ","SANG","bim","bImd","b{m","irregular"
"biv","bov","i->o","X","[b, f, m, p, v, w]","» ___ ","[D, J, S, T, Z, _, b, d, f, g, k, p, s, t, v, z, ~]","","26","2",0.0769230769230769,0.0853816934498004,"sp»ik, w»iv","m»it, f»id, b»it, rIp»it, sw»ip, w»ip, skw»iz, k@mp»it, dIf»it, sp»id, w»id, Imp»id, skw»ik, p»ip, w»iz, p»ik, bIkw»iT, b»id, p»is","DROVE","beeve","bivd","bov","irregular"
"bl2d","blod","2->o","X","[D, Z, _, d, l, n, r, z]","» ___ ","[D, Z, _, b, d, g, v, z]","","20","6",0.3,0.296375820694074,"dr»2v, r»2z, r»2d, str»2v, d»2v, str»2d","sl»2d, @bl»2_, Tr»2v, k@mpr»2z, r»2D, gl»2d, k@ntr»2v, k@l»2d, br»2b, pr»2z, r»2v, tr{nskr»2b, skr»2b, k@n»2v","DROVE","blide","bl2d@d","blod","irregular"
